,schedule_date,schedule_season,schedule_week,team_x,score,opponent_score,margin,home_team,id,game_number,team_y,passing_yards,rushing_yards
226,2016-11-13,2016,10,TEN,47.0,25.0,22.0,TEN,2016TEN10,10,TEN,305,154
227,2016-11-13,2016,10,WAS,26.0,20.0,6.0,WAS,2016WAS10,10,WAS,375,151
228,2016-11-14,2016,10,CIN,20.0,21.0,-1.0,NYG,2016CIN10,10,CIN,207,93
229,2016-11-14,2016,10,NYG,21.0,20.0,1.0,NYG,2016NYG10,10,NYG,227,102
230,2016-11-17,2016,11,CAR,23.0,20.0,3.0,CAR,2016CAR11,11,CAR,246,129
231,2016-11-20,2016,11,ARI,24.0,30.0,-6.0,MIN,2016ARI11,11,ARI,289,58
232,2016-11-20,2016,11,BAL,17.0,27.0,-10.0,DAL,2016BAL11,11,BAL,234,92
233,2016-11-20,2016,11,BUF,16.0,12.0,4.0,CIN,2016BUF11,11,BUF,166,153
234,2016-11-20,2016,11,CHI,16.0,22.0,-6.0,NYG,2016CHI11,11,CHI,316,95
235,2016-11-20,2016,11,CIN,12.0,16.0,-4.0,CIN,2016CIN11,11,CIN,283,64
236,2016-11-20,2016,11,CLE,9.0,24.0,-15.0,CLE,2016CLE11,11,CLE,246,33
237,2016-11-20,2016,11,DAL,27.0,17.0,10.0,DAL,2016DAL11,11,DAL,195,163
238,2016-11-20,2016,11,DET,26.0,19.0,7.0,DET,2016DET11,11,DET,232,94
239,2016-11-20,2016,11,IND,24.0,17.0,7.0,IND,2016IND11,11,IND,240,91
240,2016-11-20,2016,11,JAX,19.0,26.0,-7.0,DET,2016JAX11,11,JAX,126,183
241,2016-11-20,2016,11,LAR,10.0,14.0,-4.0,LAR,2016LAR11,11,LAR,214,69
242,2016-11-20,2016,11,MIA,14.0,10.0,4.0,LAR,2016MIA11,11,MIA,285,95
243,2016-11-20,2016,11,MIN,30.0,24.0,6.0,MIN,2016MIN11,11,MIN,224,82
244,2016-11-20,2016,11,NYG,22.0,16.0,6.0,NYG,2016NYG11,11,NYG,194,104
245,2016-11-20,2016,11,PHI,15.0,26.0,-11.0,SEA,2016PHI11,11,PHI,254,81
246,2016-11-20,2016,11,PIT,24.0,9.0,15.0,CLE,2016PIT11,11,PIT,221,148
247,2016-11-20,2016,11,SEA,26.0,15.0,11.0,SEA,2016SEA11,11,SEA,151,127
248,2016-11-20,2016,11,TEN,17.0,24.0,-7.0,IND,2016TEN11,11,TEN,290,97
249,2016-11-20,2016,11,WAS,42.0,24.0,18.0,WAS,2016WAS11,11,WAS,449,56
250,2016-11-21,2016,11,HOU,20.0,27.0,-7.0,OAK,2016HOU11,11,HOU,246,114
251,2016-11-21,2016,11,OAK,27.0,20.0,7.0,OAK,2016OAK11,11,OAK,315,56
252,2016-11-24,2016,12,DAL,31.0,26.0,5.0,DAL,2016DAL12,12,DAL,139,140
253,2016-11-24,2016,12,DET,16.0,13.0,3.0,DET,2016DET12,12,DET,341,85
254,2016-11-24,2016,12,IND,7.0,28.0,-21.0,IND,2016IND12,12,IND,289,139
255,2016-11-24,2016,12,MIN,13.0,16.0,-3.0,DET,2016MIN12,12,MIN,253,87
256,2016-11-24,2016,12,PIT,28.0,7.0,21.0,IND,2016PIT12,12,PIT,289,117
257,2016-11-24,2016,12,WAS,26.0,31.0,-5.0,DAL,2016WAS12,12,WAS,271,87
258,2016-11-27,2016,12,ARI,19.0,38.0,-19.0,ATL,2016ARI12,12,ARI,300,88
259,2016-11-27,2016,12,ATL,38.0,19.0,19.0,ATL,2016ATL12,12,ATL,297,128
260,2016-11-27,2016,12,BAL,19.0,14.0,5.0,BAL,2016BAL12,12,BAL,386,110
261,2016-11-27,2016,12,BUF,28.0,21.0,7.0,BUF,2016BUF12,12,BUF,191,212
262,2016-11-27,2016,12,CAR,32.0,35.0,-3.0,OAK,2016CAR12,12,CAR,182,89
263,2016-11-27,2016,12,CHI,21.0,27.0,-6.0,CHI,2016CHI12,12,CHI,192,142
264,2016-11-27,2016,12,CIN,14.0,19.0,-5.0,BAL,2016CIN12,12,CIN,332,80
265,2016-11-27,2016,12,CLE,13.0,27.0,-14.0,CLE,2016CLE12,12,CLE,322,58
